are:	parameters		p	q	r	s
-119.2965	46.7285	13.19	3.22213668425	-0.17477108474	-119.281159546	46.9029554968
-119.5178	46.9623	20.08	3.05734203126	0.0497632111587	-119.5219636	46.91261806
-121.9855	47.1683	17.96	1.36940750973	0.18590670133	-121.992505728	46.9824545324
-123.5025	47.1675	40.71	0.33822822974	0.168573934929	-123.504069611	46.9989294533
-121.756	46.8488	2.44	1.53452492154	-0.129222644635	-121.750576325	46.977969522
-121.9703	46.8628	7.99	1.38765111047	-0.119224123038	-121.965773309	46.9819840302
-120.7037	46.9258	6.66	2.25052858889	-0.0268527931738	-120.702045703	46.9526290273
-121.9728	46.8557	7.66	1.38612599431	-0.12636599681	-121.968008049	46.9820236012
-121.6173	46.9883	13.11	1.62510279214	0.0130132232499	-121.617879896	46.9752927919
-121.9652	46.8575	9.24	1.39127468828	-0.124431896317	-121.960463722	46.9818898376
-121.9537	46.7993	4.27	1.40065578987	-0.182407262667	-121.94671779	46.9816448417
-122.6855	47.088	52.41	0.894968361505	0.095508349013	-122.687849226	46.99250507
-122.2115	47.0347	12.76	1.2188560842	0.0486129325297	-122.213126593	46.9860997215
-121.9737	46.8563	7.99	1.38549522871	-0.125782116293	-121.968932306	46.9820399545
-120.9295	47.0205	5.74	2.09273704486	0.0615115191655	-120.933030584	46.9590356443
-121.7578	46.8533	2.06	1.53316559551	-0.124759726281	-121.752567835	46.9780085248
-122.21	47.0302	13.05	1.21998095257	0.044137452134	-122.21147808	46.9860740572
-121.8695	47.0258	17.86	1.45211699162	0.0455451974389	-121.871315036	46.9802716253
-120.6933	46.8448	15.97	2.26104190783	-0.107481534046	-120.686657658	46.9521856634
-121.8668	47.1177	18.18	1.45145501605	0.137461210287	-121.872284961	46.980289604
-121.9672	46.9388	12.70	1.38779840208	-0.0431947555389	-121.965557484	46.9819802063
-121.9643	47.0665	5.47	1.38646023807	0.0845135472329	-121.967518284	46.9820149326
-121.7698	46.8437	0.05	1.52523571399	-0.134590023145	-121.764185741	46.9782353667
-123.8328	47.1482	17.47	0.113713746175	0.148321345618	-123.833264153	46.9998789912
-121.9428	46.905	11.78	1.40533991469	-0.0765483186301	-121.939854287	46.9815218959
-120.7112	46.8555	2.11	2.24836059872	-0.0973060401956	-120.70521896	46.9527201986
-121.7638	46.8412	0.03	1.5294093463	-0.136972048254	-121.758071026	46.9781161224
-122.3648	46.8933	20.43	1.11734955685	-0.0950389729355	-122.36189236	46.988318237
-119.92	46.917	2.40	2.78561561596	-0.0104614583807	-119.919202891	46.9274472829
-122.1325	47.1305	8.51	1.27040105615	0.145641852685	-122.137588264	46.9848994056
-122.1173	47.1188	0.99	1.28102027956	0.13419269727	-122.122026388	46.9846459471
-121.9318	46.8715	8.20	1.41373682462	-0.109838816883	-121.927550634	46.9813004727
-121.9673	46.8178	6.92	1.39086902172	-0.164155807129	-121.96105814	46.9819003949
-121.7712	46.8473	0.02	1.5241761185	-0.13101872431	-121.76573814	46.9782655885
-121.756	46.8682	1.39	1.53396937522	-0.109830600658	-121.75139024	46.9779854663
-121.753	46.8587	0.02	1.53629198277	-0.11926792083	-121.747987457	46.9779187685
-121.7603	46.862	0.89	1.53120795939	-0.116112172781	-121.755435918	46.9780646341
-121.8935	46.9687	8.20	1.43729789817	-0.0119764690873	-121.893028093	46.9806721398
-121.9028	46.9722	8.41	1.43086020874	-0.00864795033272	-121.902460748	46.980844852
-121.9502	46.8272	10.88	1.40232108284	-0.154454187636	-121.944277684	46.9816011792
-121.908	46.8833	11.67	1.42968664736	-0.0976111093019	-121.904180285	46.9808762532
-122.4992	47.0693	17.29	1.02215311203	0.0790907364109	-122.501420962	46.9902237529
-121.9325	46.866	10.56	1.41340356231	-0.11534953065	-121.928038948	46.9813092858
-119.7433	46.8507	2.28	2.90974020149	-0.0702474787631	-119.737716797	46.9208437626
-121.9737	46.8527	9.03	1.38558832292	-0.129380912412	-121.968795896	46.9820375414
-121.9182	46.8675	12.12	1.42313731273	-0.113591202068	-121.9137766	46.9810510221
-121.9358	46.8698	10.91	1.41104800588	-0.11161033258	-121.93149044	46.9813715192
-121.9432	46.928	14.48	1.40446300953	-0.0535634172717	-121.941139186	46.9815449435
-120.2007	46.8802	10.00	2.59590714485	-0.0568525002644	-120.196664988	46.9369856327
-120.1568	46.9205	0.04	2.62390278791	-0.0151384077148	-120.155713208	46.9356202032
-122.0058	47.0207	15.40	1.35936747557	0.0380014892217	-122.007217629	46.9827108107
-122.0057	47.0095	15.33	1.35972068002	0.0268068523252	-122.006700068	46.982701827
-122.0055	46.9978	14.10	1.36015481976	0.0151141141926	-122.00606391	46.9826907814
-122.0008	47.008	15.69	1.36309906364	0.0253924824172	-122.001749628	46.9826157796
-120.443	46.9163	10.27	2.42883312622	-0.0285600985228	-120.441101817	46.9448306676
-121.9682	46.9372	13.15	1.38715733969	-0.0448119260828	-121.966496827	46.9819968465
-121.7617	46.8535	0.94	1.53049387873	-0.124636055983	-121.756482101	46.9780850831
-122.5037	46.8758	22.76	1.02278400989	-0.114432596349	-122.500496228	46.9902116824
-121.9693	46.934	12.99	1.38648944201	-0.0480303212007	-121.967475492	46.9820141751
-121.966	46.9347	12.87	1.38872388762	-0.0472721123153	-121.964201379	46.9819561696
-120.7633	46.822	9.37	2.21414664805	-0.13226048777	-120.755298868	46.9541474014
-120.951	47.0005	8.02	2.07886888579	0.0409544683161	-120.953334248	46.9595765072
-120.9612	47.0035	9.50	2.07180150156	0.043682059312	-120.963681402	46.9598507569
-122.1547	47.0742	8.56	1.25662779116	0.0889996389019	-122.15777243	46.9852250038
-120.5718	46.8258	14.38	2.34489945188	-0.122893305533	-120.563927009	46.9485754565
-121.9542	46.8752	6.08	1.39833200708	-0.106542072641	-121.950122768	46.9817056827
-120.6215	46.8857	6.21	2.30834406942	-0.064525381773	-120.617426012	46.9501653502
-121.9575	46.892	13.37	1.39563901411	-0.0898066294467	-121.954068751	46.981776064
-120.9075	46.7668	7.93	2.11773346366	-0.191401280962	-120.896435646	46.9580517115
-121.9622	46.8982	13.79	1.39226699506	-0.0836923507999	-121.95900971	46.9818640005
-121.994	47.0118	15.31	1.36763716234	0.0293097423127	-121.99509985	46.9824998585
-122.0018	47.0107	13.39	1.36234853672	0.0280742110454	-122.002849395	46.9826349139
-121.9515	46.931	13.38	1.39871831439	-0.0507129243059	-121.949556722	46.9816955754
-122.5628	47.0178	8.26	0.979786561034	0.0267872146405	-122.563520357	46.9910172901
-119.7377	46.847	3.62	2.91376551764	-0.073733969408	-119.731832023	46.9206248122
